NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201042005,2020,3.79,3.79,172.0,154.0,154.0,3.62,3.9,3.81,3.84,3.66,22.0,44.0,68.0,92.0,116.0,6,0,Tidak Tepat Waktu
201042017,2020,3.47,3.47,160.0,154.0,154.0,3.56,3.53,3.38,3.36,3.46,22.0,44.0,68.0,92.0,116.0,0,0,Tidak Tepat Waktu
201042020,2020,3.73,3.73,160.0,154.0,154.0,3.58,3.78,3.74,3.75,3.59,22.0,44.0,68.0,92.0,116.0,0,0,Tidak Tepat Waktu
201042034,2020,3.58,3.58,163.0,157.0,157.0,3.62,3.58,3.48,3.52,3.53,22.0,44.0,68.0,92.0,116.0,0,0,Tidak Tepat Waktu
201052003,2020,3.82,3.82,155.0,147.0,147.0,3.81,3.67,3.88,3.79,3.89,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
201052004,2020,3.63,3.63,153.0,147.0,147.0,3.58,3.4,3.66,3.46,3.68,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
201052007,2020,3.64,3.64,155.0,147.0,147.0,3.59,3.44,3.73,3.48,3.68,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
201052008,2020,3.75,3.75,153.0,147.0,147.0,3.73,3.52,3.71,3.69,3.87,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
201052009,2020,3.81,3.81,157.0,147.0,147.0,3.35,3.55,3.81,3.88,3.83,24.0,46.0,69.0,93.0,116.0,1,0,Tidak Tepat Waktu
201052011,2020,3.63,3.63,155.0,147.0,147.0,3.53,3.4,3.73,3.61,3.7,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
201052013,2020,3.65,3.65,155.0,147.0,147.0,3.68,3.37,3.68,3.59,3.68,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
201052015,2020,3.71,3.71,153.0,147.0,147.0,3.62,3.32,3.84,3.67,3.85,22.0,44.0,67.0,91.0,114.0,0,0,Tidak Tepat Waktu
